product_name,product_brand,product_model,chipset,ram,graphics,webcams,connectivities,batteries,adapters,operating_system,dimentions,weight,product_price
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 7520U 8GB RAM 256GB SSD 15.6 Inch FHD Display Sand Laptop (82VG00LKIN),Lenovo,IdeaPad 1 15AMN7,not found,not found,not found,HD 720p with Privacy Shutter,not found,not found,65W Round Tip (3-pin),Free Dos,325.3 x 216.5 x 17.9 mm,1.58 kg,"60,500৳"
HUAWEI MATEBOOK D16 16 INCH IPS FULL HD DISPLAY INTEL I5-12450H 16GB RAM 512GB SSD LAPTOP,Huawei,MateBook D16,"Intel Core i5-12450H 12th Gen 3.30 GHz up to 4.40 GHz
",16GB LPDDR4X,"Intel UHD Graphics
",1080P FHD camera,"IEEE 802.11a/b/g/n/ac/ax 
2.4 GHz and 5 GHz
2x2 MIMO
WPA/WPA2/WPA3","Lithium polymer 
60 Wh
65 W USB-C Power Adapter
","65 W USB-C Power Adapter
","Windows 11 Home
","Width: 356.7 mm 
Depth: 248.7 mm
Height: 18.4 mm",1.7 kg,"102,999৳"
Huawei MateBook D15 15.6 inch Full HD Display Core i3 11th Gen 8GB RAM 256GB SSD Laptop,Huawei,MateBook D15,"Intel Core i3-1115G4 Processor
6M Cache, up to 4.10 GHz","8 GB DDR4 RAM
","Intel Iris Xe Graphics
",720P HD Recessed CameraVideo Recording/Video Chat,"LAN: 11ac, 2x2 
Wi-Fi: IEEE 802.11 a/b/g/n/ac/ax,160 MHz
2.4 GHz and 5 GHz
2 x 2 MIMO
WPA/WPA2/WPA3",42 Wh (Rating Capacity),"HUAWEI USB-C power adapter (65 W) 
Input: 100–240 V AC, 50 Hz/60 Hz 
Output: 5 V/2 A, 9 V/2 A, 12 V/2 A, 15 V/3 A, and 20 V/3.25 A",Windows 11 Home 64-bit,"357.8 x 229.9 x 16.9 mm
",Approx. 1.63 kg ,"63,500৳"
Huawei MateBook D15 15.6 inch FHD Display Core i5 11th Gen 8GB RAM 512GB SSD Laptop,Huawei,MateBook D15,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)
","8 GB DDR4 RAM
","Intel Iris Xe Graphics
",720P HD Recessed CameraVideo Recording/Video Chat,"LAN: 11ac, 2x2 
Wi-Fi: IEEE 802.11 a/b/g/n/ac/ax,160 MHz
2.4 GHz and 5 GHz
2 x 2 MIMO
WPA/WPA2/WPA3",42 Wh (Rating Capacity),"HUAWEI USB-C power adapter (65 W) 
Input: 100–240 V AC, 50 Hz/60 Hz 
Output: 5 V/2 A, 9 V/2 A, 12 V/2 A, 15 V/3 A, and 20 V/3.25 A",Windows 10 Home 64-bit,"357.8 x 229.9 x 16.9 mm
",Approx. 1.63 kg ,"78,000৳"
HUAWEI MATEBOOK B3-520 CORE I5 11TH GEN 15.6 INCH FHD 8GB RAM 512GB SSD LAPTOP,Huawei,MateBook B3-520,"Intel Core i5-1135G7 processor (Quad-core, 2.4 GHz base frequency, up to 4.2 GHz with Intel Turbo Boost Technology, 8 MB L3 cache)",8GB LPDDR4X 5500Mhz ( On Board),Intel Iris Xe Graphics,720P HD Pop-up Camera,"IEEE 802.11a/b/g/n/ac/ax,160 MHz
2.4 GHz & 5 GHz 
2 x 2 MIMO
WPA/WPA2/WPA3",42 Wh (rated capacity),65W,Windows 11 Home ,"Width: 357.8 mm
Depth: 229.9 mm
Height: 16.9 mm",1.56 kg,"76,000৳"
Huawei MateBook B3-520 15.6 Inch Full HD Display Core I3 11th Gen 8GB RAM 256GB SSD Laptop,Huawei,MateBook B3-520,"Intel Core i3-1115G4 (6MB Cache, 3.00 GHz, up to 4.10 GHz)",8GB LPDDR4X,"Intel UHD Graphics
",720P HD camera,"IEEE 802.11a/b/g/n/ac/ax,160 MHz
2.4 GHz & 5 GHz 
2 x 2 MIMO
WPA/WPA2/WPA3",42 Wh (rated capacity),65W,Windows 10 Home ,"Width: 357.8 mm
Depth: 229.9 mm
Height: 16.9 mm",1.56 kg,"64,000৳"
Huawei MateBook B3-420 14 Inch Full HD Display Core I5 11th Gen 8GB RAM 512GB SSD Laptop,Huawei,MateBook B3-420,"Intel Core i5-1135G7 processor (Quad-core, 2.4 GHz base frequency, up to 4.2 GHz with Intel Turbo Boost Technology, 8 MB L3 cache)",8GB DDR4,Intel Iris Xe Graphics,720P HD camera,"IEEE 802.11a/b/g/n/ac/ax,160 MHz
2.4 GHz & 5 GHz 
2 x 2 MIMO
WPA/WPA2/WPA3","56 Wh
",65W,"Windows 11 Home
","Width: 357.8 mm
Depth: 229.9 mm
Height: 16.9 mm",1.56 kg,"76,000৳"
HP VICTUS 15-FA0163TX CORE I5 12TH GEN 8GB RAM 512GB SSD 15.6 FHD 144HZ IPS DISPLAY PERFORMANCE BLUE GAMING LAPTOP WITH NVIDIA GEFORCE RTX 3050 4GB GRAPHICS (805X0PA),HP,VICTUS 15-fa0163TX,"Processor Brand- Intel
Processor Model- Corei5-12500H
Genration- 12th Gen
Processor Frequency- Up To 4.5 GHz
Processor Core- 12
Processor Thread- 16
CPU Cache- 18 Mb","RAM- 8GB 3200MHz (2 X 4 GB)
RAM Type- DDR4
Removable- Yes
Total RAM Slot- 2","Graphics Model- NVIDIA GeForce RTX 3050 Laptop GPU
Graphics Memory- Dedicated",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"WIFI- Intel Wi-Fi 6E AX211 (2x2) 

Bluetooth- Bluetooth 5.3 wireless card (supporting gigabit data rate)

LAN- Integrated 10/100/1000 GbE LAN
","Battery Type- 4-Cell, 70 Wh Li-Ion Polymer
Battery Life- Up To 8 Hours
Battery Recharge Time- Supports Battery Fast Charge: Approximately 50% In 30 Minutes
Power Supply Type- 200 W Smart AC Power Adapter
",not found,Windows 11 Home Single Language ,35.79 x 25.5 x 2.35 cm ,2.29 kg,"116,500৳"
HP PROBOOK 450 G9 INTEL CORE I5 1235U 12TH GEN 8GB RAM 512GB SSD 15.6 INCH FHD DISPLAY WINDOWS 11 SILVER LAPTOP (6K543PA),HP,ProBook 450 G9,"Processor Brand- Intel
Processor Model- Core i5-1235U
Generation- 12th Gen
Processor Frequency- up to 4.40 GHz
Processor Core- 10
Processor Thread- 12
CPU Cache- 12MB","RAM- 8GB
RAM Type- DDR4
Bus Speed- 3200Mhz
Max RAM Capacity- 32GB
","Intel Iris Xe Graphics
",720p HD privacy camera,"LAN- 1 RJ-45
WiFi- Intel Wi-Fi 6E AX211 (2x2)
Bluetooth- Bluetooth 5.3 ","Battery Type- 3-Cell Li-Ion
Battery Capacity- 51Wh
Adapter Type- 45 W USB-C Power Adapter",not found,Windows 11 Home Single Language,"359.4 x 233.9 x 19.9mm
","1.74 kg
","90,000৳"
HP PROBOOK 450 G8 15.6-INCH FULL HD DISPLAY CORE I3 11TH GEN 8GB RAM 256GB SSD LAPTOP,HP,Probook 450 G8,"Intel Core i3-1115G4 Processor (3.0 GHz base clock, up to 4.1 GHz with Intel Turbo Boost Technology 2 cores and 6 MB cache)",8GB 3200MHz DDR4 RAM (upgrade up to 32GB)),"Intel UHD Graphics
",IR HD Webcam,Intel AX201 Wi-Fi 6 (2x2),"Battery 3 Cell, Battery Capacity 45Wh
Battery Type: polymer","65 W AC power adapter
",Windows 10 Home,not found,"1.74 kg
","71,500৳"
HP PROBOOK 440 G9 14 INCH FULL HD DISPLAY INTEL I7 12TH GEN 8GB RAM 512GB SSD LAPTOP,HP,ProBook 440 G9,Intel Core i7-1255U (1.70GHz up to 4.70 GHz),8 GB DDR4-3200 MHz RAM (1 x 8 GB),Intel Iris Xᵉ Graphics,720p HD privacy camera,"Realtek RTL8852AE Wi-Fi 6 (2x2) and Bluetooth®️ 5.2 wireless card
","Dual stereo speakers, dual array microphones
","HP Smart 65 W External AC power adapter 11
",FREE DOS,32.19 x 21.39 x 1.99 cm,Starting at 1.38 kg,"115,000৳"
HP Pavilion 15-eg3041TX Core i5 13th Gen MX550 15.6-Inch FHD silver Laptop,HP,Pavilion 15-eg3041TX,not found,not found,not found,HP Wide Vision 720p HD camera,not found,not found,65W AC Adapter (Supports battery fast charge: approximately 50% in 45 minutes),WIndows-11Home,36.02 x 23.4 x 1.79 cm ,1.74 kg ,"102,500৳"
HP Pavilion 15-eg3040TX Core i7 13th Gen 15.6-Inch FHD Laptop,HP,Pavilion 15-eg3040TX,not found,not found,not found,HP Wide Vision 720p HD camera,not found,not found,65W AC Adapter (Supports battery fast charge: approximately 50% in 45 minutes),WIndows-11Home,36.02 x 23.4 x 1.79 cm ,1.74 kg ,"125,000৳"
HP OMEN 16-C0456AX 16.1 INCH FULL HD 144HZ IPS DISPLAY AMD RYZEN 9 5900H 16GB RAM 1TB SSD GAMING LAPTOP WITH RTX 3070 8GB GRAPHICS,HP,OMEN 16-C0456AX,"AMD Ryzen 9 5900HX (up to 4.6 GHz max boost clock, 16 MB L3 cache, 8 cores, 16 threads)
","16 GB DDR4-3200 MHz RAM (2 x 8 GB)
","NVIDIA GeForce RTX 3070 Laptop GPU 
8 GB GDDR6 dedicated
",HP Wide Vision 720p HD camera with integrated dual array digital microphones,"Realtek Wi-Fi 6 (2x2)
Bluetooth 5.2 combo
Integrated 10/100/1000 GbE LAN","6-cell, 83 Wh Li-ion polymerUp to 9 hours and 30 minutes
230 W AC power adapter
",not found,Win11 Home & MSO,"36.92 x 24.8 x 2.3 cm
","2.3 kg
","238,000৳"
"HP ENVY 15-EP1890TX CORE I7 11TH GEN RTX 3050 TI 4GB GRAPHICS 15.6"" FHD TOUCH GAMING LAPTOP",HP,ENVY 15-ep1890TX,"Intel Core i7-11800H (up to 4.6 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 8 cores, 16 threads)
","16 GB DDR4-3200 MHz RAM (2 x 8 GB)
",4 GB NVIDIA GeForce RTX 3050Ti,HP Wide Vision 720p HD camera with camerashutter and integrated dual array digital microphones,"Integrated 10/100/1000 GbE LAN
","6-cell, 83 Wh Li-ion polymer
","200 W Smart AC power adapter
","Windows 11 Home
","35.79 x 23.68 x 1.84 cm
","2.18 kg
","189,000৳"
